"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";582.168;0.0375;0.0077;0.0216;-0.0244;"Full";1
"NBWaVE";274.979;0.0312;0.0065;0.0144;0.5561;"Full";1
"CMF";478.904;0.0333;0.0069;Inf;0.0352;"Full";1
"NMF";NA;NA;NA;NA;NA;"Full";1
"NNLM";189.653;0.0315;0.0066;Inf;0.0476;"Full";1
"AIRWLS";221.256;0.0313;0.0065;0.0126;0.5985;"Full";1
"Newton";105.059;0.0313;0.0065;0.0134;0.5761;"Full";1
"C-SGD";59.1;0.0308;0.0064;0.0124;0.536;"Full";1
"B-SGD";32.928;0.0308;0.0064;0.0126;0.4804;"Full";1
"glmPCA";582.168;0.0375;0.1461;0.0215;-0.0244;"Train";1
"NBWaVE";274.979;0.0302;0.1449;0.0141;0.5561;"Train";1
"CMF";478.904;0.0331;0.1453;0.0115;0.0352;"Train";1
"NMF";NA;NA;NA;NA;NA;"Train";1
"NNLM";189.653;0.0313;0.145;0.0109;0.0476;"Train";1
"AIRWLS";221.256;0.0311;0.145;0.0101;0.5985;"Train";1
"Newton";105.059;0.0311;0.145;0.0101;0.5761;"Train";1
"C-SGD";59.1;0.0301;0.1448;0.0116;0.536;"Train";1
"B-SGD";32.928;0.0292;0.1448;0.012;0.4804;"Train";1
"glmPCA";582.168;0.0375;0.4947;0.022;-0.0244;"Test";1
"NBWaVE";274.979;0.0341;0.4942;0.0153;0.5561;"Test";1
"CMF";478.904;0.034;0.4944;Inf;0.0352;"Test";1
"NMF";NA;NA;NA;NA;NA;"Test";1
"NNLM";189.653;0.032;0.4941;Inf;0.0476;"Test";1
"AIRWLS";221.256;0.0319;0.4941;0.0196;0.5985;"Test";1
"Newton";105.059;0.032;0.4941;0.0227;0.5761;"Test";1
"C-SGD";59.1;0.0329;0.4942;0.0146;0.536;"Test";1
"B-SGD";32.928;0.0352;0.4943;0.0143;0.4804;"Test";1
"glmPCA";597.675;0.0347;0.0088;0.0187;-0.0172;"Full";2
"NBWaVE";276.27;0.0295;0.0075;0.0121;0.4494;"Full";2
"CMF";480.84;0.0312;0.008;0.0132;0.1221;"Full";2
"NMF";NA;NA;NA;NA;NA;"Full";2
"NNLM";180.114;0.0301;0.0077;0.01;0.1074;"Full";2
"AIRWLS";221.117;0.0299;0.0076;0.0104;0.5081;"Full";2
"Newton";104.286;0.0299;0.0076;0.0113;0.5073;"Full";2
"C-SGD";59.877;0.0294;0.0075;0.0103;0.4705;"Full";2
"B-SGD";33.138;0.0293;0.0075;0.0104;0.4114;"Full";2
"glmPCA";597.675;0.0347;0.147;0.0185;-0.0172;"Train";2
"NBWaVE";276.27;0.0286;0.1457;0.0118;0.4494;"Train";2
"CMF";480.84;0.031;0.1463;0.0089;0.1221;"Train";2
"NMF";NA;NA;NA;NA;NA;"Train";2
"NNLM";180.114;0.0299;0.1459;0.0088;0.1074;"Train";2
"AIRWLS";221.117;0.0297;0.1459;0.0082;0.5081;"Train";2
"Newton";104.286;0.0297;0.146;0.0082;0.5073;"Train";2
"C-SGD";59.877;0.0287;0.1458;0.0095;0.4705;"Train";2
"B-SGD";33.138;0.0279;0.1457;0.0098;0.4114;"Train";2
"glmPCA";597.675;0.0347;0.4952;0.0192;-0.0172;"Test";2
"NBWaVE";276.27;0.0322;0.4948;0.0128;0.4494;"Test";2
"CMF";480.84;0.0318;0.4948;0.0254;0.1221;"Test";2
"NMF";NA;NA;NA;NA;NA;"Test";2
"NNLM";180.114;0.0305;0.4948;0.0133;0.1074;"Test";2
"AIRWLS";221.117;0.0305;0.4947;0.0168;0.5081;"Test";2
"Newton";104.286;0.0306;0.4947;0.0203;0.5073;"Test";2
"C-SGD";59.877;0.0314;0.4948;0.0123;0.4705;"Test";2
"B-SGD";33.138;0.0331;0.4949;0.0118;0.4114;"Test";2
"glmPCA";584.947;0.0379;0.0085;0.0195;-0.0227;"Full";3
"NBWaVE";270.679;0.0318;0.0072;0.013;0.5321;"Full";3
"CMF";474.646;0.034;0.0077;0.0155;0.1198;"Full";3
"NMF";563.21;0.034;0.0077;0.0134;0.1218;"Full";3
"NNLM";186.548;0.0322;0.0073;0.0109;0.075;"Full";3
"AIRWLS";222.148;0.032;0.0073;0.0115;0.52;"Full";3
"Newton";107.46;0.032;0.0073;0.0122;0.499;"Full";3
"C-SGD";58.909;0.0314;0.0071;0.0112;0.5041;"Full";3
"B-SGD";33.679;0.0313;0.0071;0.0114;0.473;"Full";3
"glmPCA";584.947;0.0379;0.1469;0.0194;-0.0227;"Train";3
"NBWaVE";270.679;0.0307;0.1456;0.0127;0.5321;"Train";3
"CMF";474.646;0.0337;0.146;0.0103;0.1198;"Train";3
"NMF";563.21;0.0338;0.1462;0.0114;0.1218;"Train";3
"NNLM";186.548;0.032;0.1457;0.0099;0.075;"Train";3
