"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";339.69;0.0372;0.0079;0.0219;-0.0289;"Full";1
"NBWaVE";92.893;0.0316;0.0067;0.0141;0.5557;"Full";1
"CMF";201.633;0.0327;0.007;0.0146;0.0351;"Full";1
"NMF";216.566;0.0335;0.0071;0.015;0.0502;"Full";1
"NNLM";103.464;0.0315;0.0067;0.012;-0.0145;"Full";1
"AIRWLS";105.608;0.0313;0.0067;0.0122;0.5485;"Full";1
"Newton";59.432;0.0313;0.0067;0.0126;0.5675;"Full";1
"C-SGD";30.159;0.0308;0.0066;0.0121;0.5268;"Full";1
"B-SGD";19.837;0.0306;0.0066;0.0124;0.4771;"Full";1
"glmPCA";339.69;0.0372;0.146;0.0217;-0.0289;"Train";1
"NBWaVE";92.893;0.0309;0.1449;0.0139;0.5557;"Train";1
"CMF";201.633;0.0325;0.1452;0.0116;0.0351;"Train";1
"NMF";216.566;0.0334;0.1455;0.0132;0.0502;"Train";1
"NNLM";103.464;0.0313;0.145;0.0112;-0.0145;"Train";1
"AIRWLS";105.608;0.0311;0.145;0.0105;0.5485;"Train";1
"Newton";59.432;0.0311;0.145;0.0105;0.5675;"Train";1
"C-SGD";30.159;0.0303;0.1448;0.0116;0.5268;"Train";1
"B-SGD";19.837;0.0296;0.1447;0.012;0.4771;"Train";1
"glmPCA";339.69;0.0373;0.495;0.0224;-0.0289;"Test";1
"NBWaVE";92.893;0.0336;0.4945;0.0148;0.5557;"Test";1
"CMF";201.633;0.0332;0.4946;0.0232;0.0351;"Test";1
"NMF";216.566;0.034;0.4944;0.0199;0.0502;"Test";1
"NNLM";103.464;0.032;0.4945;0.0141;-0.0145;"Test";1
"AIRWLS";105.608;0.0318;0.4945;0.0174;0.5485;"Test";1
"Newton";59.432;0.0319;0.4944;0.0187;0.5675;"Test";1
"C-SGD";30.159;0.0324;0.4945;0.0137;0.5268;"Test";1
"B-SGD";19.837;0.0333;0.4945;0.0134;0.4771;"Test";1
"glmPCA";337.756;0.0351;0.0083;0.0189;-0.0203;"Full";2
"NBWaVE";111.018;0.0303;0.0072;0.0126;0.4432;"Full";2
"CMF";198.933;0.0315;0.0075;0.0132;0.0411;"Full";2
"NMF";NA;NA;NA;NA;NA;"Full";2
"NNLM";102.896;0.0304;0.0073;0.0107;0.0222;"Full";2
"AIRWLS";106.699;0.0302;0.0072;0.0109;0.4833;"Full";2
"Newton";59.529;0.0302;0.0072;0.0113;0.4823;"Full";2
"C-SGD";30.372;0.0298;0.0071;0.0109;0.4257;"Full";2
"B-SGD";19.901;0.0296;0.0071;0.0111;0.3411;"Full";2
"glmPCA";337.756;0.0351;0.1467;0.0187;-0.0203;"Train";2
"NBWaVE";111.018;0.0297;0.1457;0.0124;0.4432;"Train";2
"CMF";198.933;0.0315;0.146;0.0103;0.0411;"Train";2
"NMF";NA;NA;NA;NA;NA;"Train";2
"NNLM";102.896;0.0303;0.1458;0.0101;0.0222;"Train";2
"AIRWLS";106.699;0.0301;0.1457;0.0094;0.4833;"Train";2
"Newton";59.529;0.0301;0.1457;0.0094;0.4823;"Train";2
"C-SGD";30.372;0.0294;0.1456;0.0105;0.4257;"Train";2
"B-SGD";19.901;0.0288;0.1455;0.0107;0.3411;"Train";2
"glmPCA";337.756;0.0349;0.4947;0.0193;-0.0203;"Test";2
"NBWaVE";111.018;0.032;0.4943;0.0131;0.4432;"Test";2
"CMF";198.933;0.0318;0.4944;0.0213;0.0411;"Test";2
"NMF";NA;NA;NA;NA;NA;"Test";2
"NNLM";102.896;0.0306;0.4942;0.0125;0.0222;"Test";2
"AIRWLS";106.699;0.0305;0.4942;0.0153;0.4833;"Test";2
"Newton";59.529;0.0305;0.4942;0.0169;0.4823;"Test";2
"C-SGD";30.372;0.0311;0.4943;0.0121;0.4257;"Test";2
"B-SGD";19.901;0.032;0.4943;0.012;0.3411;"Test";2
"glmPCA";327.7;0.0379;0.0085;0.0194;-0.0296;"Full";3
"NBWaVE";91.717;0.0328;0.0074;0.0132;0.569;"Full";3
"CMF";204.223;0.0341;0.0077;0.0137;0.1367;"Full";3
"NMF";215.871;0.0349;0.0079;0.0139;0.0377;"Full";3
"NNLM";102.685;0.0329;0.0075;0.0112;0.0568;"Full";3
"AIRWLS";107.774;0.0327;0.0074;0.0116;0.5708;"Full";3
"Newton";59.655;0.0327;0.0074;0.0121;0.5543;"Full";3
"C-SGD";30.009;0.0323;0.0073;0.0115;0.5671;"Full";3
"B-SGD";19.745;0.032;0.0072;0.0117;0.4974;"Full";3
"glmPCA";327.7;0.0379;0.1467;0.0192;-0.0296;"Train";3
"NBWaVE";91.717;0.0321;0.1456;0.0129;0.569;"Train";3
"CMF";204.223;0.0339;0.1459;0.0107;0.1367;"Train";3
"NMF";215.871;0.0348;0.1462;0.0122;0.0377;"Train";3
"NNLM";102.685;0.0328;0.1457;0.0104;0.0568;"Train";3
"AIRWLS";107.774;0.0325;0.1456;0.0097;0.5708;"Train";3
"Newton";59.655;0.0325;0.1457;0.0096;0.5543;"Train";3
"C-SGD";30.009;0.0318;0.1455;0.0109;0.5671;"Train";3
"B-SGD";19.745;0.0311;0.1454;0.0113;0.4974;"Train";3
"glmPCA";327.7;0.038;0.4951;0.02;-0.0296;"Test";3
