"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";1249.882;0.0507;0.0137;0.0257;-0.0193;"Full";1
"NBWaVE";207.576;0.0459;0.0124;0.0196;0.4331;"Full";1
"CMF";348.458;0.0466;0.0127;0.02;0.0274;"Full";1
"NMF";481.49;0.0475;0.0128;0.0209;0.0074;"Full";1
"NNLM";273.027;0.0458;0.0124;0.0192;0.0568;"Full";1
"AIRWLS";243.631;0.0447;0.0121;0.0178;0.4692;"Full";1
"Newton";136.977;0.0446;0.0121;0.0179;0.471;"Full";1
"C-SGD";66.01;0.0446;0.0121;0.0183;0.4654;"Full";1
"B-SGD";43.349;0.0439;0.012;0.0183;0.4474;"Full";1
"glmPCA";1249.882;0.0507;0.1512;0.0257;-0.0193;"Train";1
"NBWaVE";207.576;0.0457;0.1501;0.0195;0.4331;"Train";1
"CMF";348.458;0.0466;0.1503;0.0193;0.0274;"Train";1
"NMF";481.49;0.0475;0.1505;0.0205;0.0074;"Train";1
"NNLM";273.027;0.0458;0.1501;0.0189;0.0568;"Train";1
"AIRWLS";243.631;0.0446;0.1499;0.0174;0.4692;"Train";1
"Newton";136.977;0.0445;0.1499;0.0174;0.471;"Train";1
"C-SGD";66.01;0.0445;0.1499;0.0181;0.4654;"Train";1
"B-SGD";43.349;0.0438;0.1497;0.0181;0.4474;"Train";1
"glmPCA";1249.882;0.0507;0.4976;0.026;-0.0193;"Test";1
"NBWaVE";207.576;0.0463;0.497;0.0198;0.4331;"Test";1
"CMF";348.458;0.0467;0.4971;0.022;0.0274;"Test";1
"NMF";481.49;0.0476;0.4971;0.0218;0.0074;"Test";1
"NNLM";273.027;0.046;0.497;0.0199;0.0568;"Test";1
"AIRWLS";243.631;0.0449;0.4968;0.019;0.4692;"Test";1
"Newton";136.977;0.0448;0.4968;0.019;0.471;"Test";1
"C-SGD";66.01;0.045;0.4969;0.0188;0.4654;"Test";1
"B-SGD";43.349;0.0445;0.4968;0.0187;0.4474;"Test";1
"glmPCA";1235.006;0.0515;0.0134;0.0272;-0.0143;"Full";2
"NBWaVE";205.534;0.0468;0.0122;0.0202;0.4828;"Full";2
"CMF";351.075;0.0473;0.0123;0.0206;0.0172;"Full";2
"NMF";479.006;0.0485;0.0126;0.0221;0.0219;"Full";2
"NNLM";276.059;0.0463;0.0121;0.0194;-0.0072;"Full";2
"AIRWLS";190.247;0.0455;0.0119;0.0184;0.4566;"Full";2
"Newton";157.541;0.0455;0.0119;0.0185;0.4705;"Full";2
"C-SGD";66.309;0.0454;0.0119;0.0189;0.4669;"Full";2
"B-SGD";43.276;0.0448;0.0117;0.0189;0.4286;"Full";2
"glmPCA";1235.006;0.0515;0.1509;0.0271;-0.0143;"Train";2
"NBWaVE";205.534;0.0466;0.1498;0.0201;0.4828;"Train";2
"CMF";351.075;0.0472;0.15;0.02;0.0172;"Train";2
"NMF";479.006;0.0485;0.1502;0.0216;0.0219;"Train";2
"NNLM";276.059;0.0463;0.1498;0.0192;-0.0072;"Train";2
"AIRWLS";190.247;0.0455;0.1496;0.018;0.4566;"Train";2
"Newton";157.541;0.0454;0.1496;0.018;0.4705;"Train";2
"C-SGD";66.309;0.0453;0.1496;0.0187;0.4669;"Train";2
"B-SGD";43.276;0.0446;0.1494;0.0188;0.4286;"Train";2
"glmPCA";1235.006;0.0515;0.4976;0.0275;-0.0143;"Test";2
"NBWaVE";205.534;0.0472;0.497;0.0205;0.4828;"Test";2
"CMF";351.075;0.0474;0.4971;0.0224;0.0172;"Test";2
