"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";519.227;0.0338;0.0083;0.0194;-0.0181;"Full";1
"NBWaVE";192.791;0.0292;0.0072;0.012;0.496;"Full";1
"CMF";264.546;0.0301;0.0074;0.0128;0.1104;"Full";1
"NMF";NA;NA;NA;NA;NA;"Full";1
"NNLM";149.544;0.0293;0.0072;0.0101;0.0648;"Full";1
"AIRWLS";169.241;0.0291;0.0072;0.0104;0.4205;"Full";1
"Newton";93.089;0.0291;0.0072;0.0109;0.3929;"Full";1
"C-SGD";51.982;0.0287;0.0071;0.0103;0.4211;"Full";1
"B-SGD";27.563;0.0285;0.007;0.0105;0.3647;"Full";1
"glmPCA";519.227;0.0338;0.1466;0.0192;-0.0181;"Train";1
"NBWaVE";192.791;0.0286;0.1456;0.0117;0.496;"Train";1
"CMF";264.546;0.03;0.1459;0.0093;0.1104;"Train";1
"NMF";NA;NA;NA;NA;NA;"Train";1
"NNLM";149.544;0.0292;0.1457;0.0092;0.0648;"Train";1
"AIRWLS";169.241;0.029;0.1456;0.0086;0.4205;"Train";1
"Newton";93.089;0.029;0.1457;0.0086;0.3929;"Train";1
"C-SGD";51.982;0.0283;0.1455;0.0097;0.4211;"Train";1
"B-SGD";27.563;0.0277;0.1454;0.01;0.3647;"Train";1
"glmPCA";519.227;0.0338;0.4948;0.02;-0.0181;"Test";1
"NBWaVE";192.791;0.0308;0.4944;0.0127;0.496;"Test";1
"CMF";264.546;0.0305;0.4944;0.0229;0.1104;"Test";1
"NMF";NA;NA;NA;NA;NA;"Test";1
"NNLM";149.544;0.0296;0.4943;0.0125;0.0648;"Test";1
"AIRWLS";169.241;0.0295;0.4943;0.0156;0.4205;"Test";1
"Newton";93.089;0.0295;0.4942;0.0174;0.3929;"Test";1
"C-SGD";51.982;0.0298;0.4943;0.012;0.4211;"Test";1
"B-SGD";27.563;0.0308;0.4944;0.0117;0.3647;"Test";1
"glmPCA";532.357;0.0359;0.0083;0.0227;-0.0184;"Full";2
"NBWaVE";184.072;0.0304;0.007;0.013;0.5273;"Full";2
"CMF";269.759;0.0315;0.0073;Inf;0.2142;"Full";2
"NMF";NA;NA;NA;NA;NA;"Full";2
"NNLM";141.364;0.0304;0.0071;Inf;0.0421;"Full";2
"AIRWLS";168.859;0.0301;0.007;0.0109;0.5261;"Full";2
"Newton";88.681;0.03;0.007;0.0113;0.5188;"Full";2
"C-SGD";51.179;0.0297;0.0069;0.011;0.5372;"Full";2
"B-SGD";27.299;0.0294;0.0068;0.0112;0.4345;"Full";2
"glmPCA";532.357;0.0358;0.1465;0.0224;-0.0184;"Train";2
"NBWaVE";184.072;0.0297;0.1453;0.0127;0.5273;"Train";2
"CMF";269.759;0.0312;0.1456;0.0102;0.2142;"Train";2
"NMF";NA;NA;NA;NA;NA;"Train";2
"NNLM";141.364;0.0302;0.1454;0.0099;0.0421;"Train";2
"AIRWLS";168.859;0.0299;0.1453;0.0092;0.5261;"Train";2
"Newton";88.681;0.0298;0.1453;0.0092;0.5188;"Train";2
"C-SGD";51.179;0.0292;0.1452;0.0104;0.5372;"Train";2
"B-SGD";27.299;0.0285;0.1451;0.0107;0.4345;"Train";2
"glmPCA";532.357;0.0362;0.495;0.0236;-0.0184;"Test";2
"NBWaVE";184.072;0.0323;0.4945;0.014;0.5273;"Test";2
"CMF";269.759;0.0321;0.4946;Inf;0.2142;"Test";2
"NMF";NA;NA;NA;NA;NA;"Test";2
"NNLM";141.364;0.0309;0.4945;Inf;0.0421;"Test";2
"AIRWLS";168.859;0.0307;0.4944;0.0157;0.5261;"Test";2
"Newton";88.681;0.0307;0.4944;0.0173;0.5188;"Test";2
"C-SGD";51.179;0.031;0.4944;0.0128;0.5372;"Test";2
"B-SGD";27.299;0.0319;0.4945;0.0125;0.4345;"Test";2
"glmPCA";507.302;0.0357;0.0086;0.0186;-0.0203;"Full";3
"NBWaVE";225.258;0.0308;0.0075;0.0124;0.5225;"Full";3
"CMF";271.084;0.032;0.0078;0.0133;0.1467;"Full";3
"NMF";369.102;0.0326;0.0079;0.0128;0.0496;"Full";3
"NNLM";134.913;0.031;0.0075;0.0106;0.0479;"Full";3
"AIRWLS";164.381;0.0307;0.0075;0.0108;0.5154;"Full";3
"Newton";87.185;0.0307;0.0075;0.0114;0.5213;"Full";3
"C-SGD";51.199;0.0303;0.0074;0.0107;0.5079;"Full";3
"B-SGD";27.433;0.03;0.0073;0.0109;0.4281;"Full";3
"glmPCA";507.302;0.0357;0.1466;0.0185;-0.0203;"Train";3
"NBWaVE";225.258;0.0302;0.1455;0.0122;0.5225;"Train";3
"CMF";271.084;0.0319;0.1459;0.0101;0.1467;"Train";3
"NMF";369.102;0.0325;0.1461;0.0112;0.0496;"Train";3
"NNLM";134.913;0.0308;0.1456;0.0097;0.0479;"Train";3
"AIRWLS";164.381;0.0305;0.1456;0.0091;0.5154;"Train";3
"Newton";87.185;0.0305;0.1456;0.0091;0.5213;"Train";3
"C-SGD";51.199;0.0298;0.1454;0.0102;0.5079;"Train";3
"B-SGD";27.433;0.0291;0.1453;0.0105;0.4281;"Train";3
"glmPCA";507.302;0.0358;0.4954;0.0189;-0.0203;"Test";3
"NBWaVE";225.258;0.0326;0.495;0.0129;0.5225;"Test";3
"CMF";271.084;0.0324;0.4951;0.0223;0.1467;"Test";3
"NMF";369.102;0.0329;0.495;0.0172;0.0496;"Test";3
"NNLM";134.913;0.0313;0.495;0.0132;0.0479;"Test";3
"AIRWLS";164.381;0.0311;0.495;0.0157;0.5154;"Test";3
"Newton";87.185;0.0312;0.4949;0.0179;0.5213;"Test";3
"C-SGD";51.199;0.0315;0.495;0.0123;0.5079;"Test";3
"B-SGD";27.433;0.0324;0.4951;0.0119;0.4281;"Test";3
"glmPCA";506.47;0.0353;0.0085;0.0222;-0.02;"Full";4
"NBWaVE";185.162;0.0303;0.0073;0.0135;0.5287;"Full";4
"CMF";256.151;0.0312;0.0076;0.0134;0.1526;"Full";4
"NMF";370.576;0.0322;0.0077;0.0144;0.0428;"Full";4
"NNLM";139.099;0.0302;0.0073;0.0114;0.0722;"Full";4
"AIRWLS";170.058;0.0301;0.0073;0.0115;0.5409;"Full";4
"Newton";92.905;0.0301;0.0073;0.0118;0.5429;"Full";4
"C-SGD";52.896;0.0297;0.0072;0.0116;0.4876;"Full";4
"B-SGD";27.39;0.0294;0.0071;0.0118;0.4214;"Full";4
"glmPCA";506.47;0.0352;0.1465;0.0221;-0.02;"Train";4
"NBWaVE";185.162;0.0296;0.1454;0.0133;0.5287;"Train";4
"CMF";256.151;0.031;0.1457;0.0109;0.1526;"Train";4
"NMF";370.576;0.032;0.146;0.0129;0.0428;"Train";4
"NNLM";139.099;0.0301;0.1455;0.0106;0.0722;"Train";4
"AIRWLS";170.058;0.0299;0.1455;0.0099;0.5409;"Train";4
"Newton";92.905;0.0299;0.1455;0.0098;0.5429;"Train";4
"C-SGD";52.896;0.0292;0.1453;0.0111;0.4876;"Train";4
"B-SGD";27.39;0.0285;0.1452;0.0114;0.4214;"Train";4
"glmPCA";506.47;0.0356;0.4954;0.0226;-0.02;"Test";4
"NBWaVE";185.162;0.0322;0.4949;0.0141;0.5287;"Test";4
"CMF";256.151;0.0318;0.495;0.0204;0.1526;"Test";4
"NMF";370.576;0.0327;0.4948;0.0187;0.0428;"Test";4
"NNLM";139.099;0.0308;0.4948;0.0135;0.0722;"Test";4
"AIRWLS";170.058;0.0307;0.4948;0.0162;0.5409;"Test";4
"Newton";92.905;0.0307;0.4948;0.0175;0.5429;"Test";4
"C-SGD";52.896;0.0312;0.4948;0.013;0.4876;"Test";4
"B-SGD";27.39;0.032;0.4949;0.0129;0.4214;"Test";4
"glmPCA";524.461;0.0386;0.0077;0.0227;-0.0301;"Full";5
"NBWaVE";161.268;0.0325;0.0065;0.0134;0.5921;"Full";5
"CMF";264.166;0.034;0.0068;0.0139;0.1744;"Full";5
"NMF";370.49;0.0349;0.007;0.0148;0.0865;"Full";5
"NNLM";151.931;0.0324;0.0065;0.0114;0.1501;"Full";5
"AIRWLS";169.512;0.0322;0.0065;0.0115;0.5491;"Full";5
"Newton";91.51;0.0322;0.0065;0.0117;0.546;"Full";5
"C-SGD";51.568;0.0318;0.0064;0.0116;0.5056;"Full";5
"B-SGD";27.395;0.0316;0.0064;0.0117;0.4392;"Full";5
"glmPCA";524.461;0.0386;0.1458;0.0224;-0.0301;"Train";5
"NBWaVE";161.268;0.0319;0.1447;0.0132;0.5921;"Train";5
"CMF";264.166;0.0338;0.1449;0.0111;0.1744;"Train";5
"NMF";370.49;0.0347;0.1452;0.0124;0.0865;"Train";5
"NNLM";151.931;0.0322;0.1447;0.0106;0.1501;"Train";5
"AIRWLS";169.512;0.032;0.1447;0.0099;0.5491;"Train";5
"Newton";91.51;0.032;0.1447;0.0099;0.546;"Train";5
"C-SGD";51.568;0.0313;0.1445;0.0111;0.5056;"Train";5
"B-SGD";27.395;0.0306;0.1445;0.0113;0.4392;"Train";5
"glmPCA";524.461;0.0387;0.4951;0.0236;-0.0301;"Test";5
"NBWaVE";161.268;0.0345;0.4946;0.0142;0.5921;"Test";5
"CMF";264.166;0.0344;0.4947;0.0222;0.1744;"Test";5
"NMF";370.49;0.0353;0.4946;0.0216;0.0865;"Test";5
"NNLM";151.931;0.0328;0.4946;0.0135;0.1501;"Test";5
"AIRWLS";169.512;0.0327;0.4945;0.0161;0.5491;"Test";5
"Newton";91.51;0.0327;0.4945;0.0167;0.546;"Test";5
"C-SGD";51.568;0.0332;0.4946;0.0131;0.5056;"Test";5
"B-SGD";27.395;0.0346;0.4946;0.0128;0.4392;"Test";5
"glmPCA";525.063;0.0362;0.0089;0.0183;-0.0203;"Full";6
"NBWaVE";159.793;0.0312;0.0077;0.0123;0.5661;"Full";6
"CMF";259.709;0.0326;0.0081;0.0135;0.1111;"Full";6
"NMF";370.582;0.0331;0.0082;0.0129;0.0375;"Full";6
"NNLM";145.279;0.0313;0.0078;0.0104;0.1416;"Full";6
"AIRWLS";169.963;0.031;0.0077;0.0107;0.5209;"Full";6
"Newton";89.806;0.031;0.0077;0.0113;0.5107;"Full";6
"C-SGD";51.94;0.0305;0.0076;0.0107;0.4848;"Full";6
"B-SGD";26.912;0.0303;0.0075;0.0108;0.4431;"Full";6
"glmPCA";525.063;0.0361;0.1469;0.0181;-0.0203;"Train";6
"NBWaVE";159.793;0.0305;0.1457;0.0121;0.5661;"Train";6
"CMF";259.709;0.0324;0.146;0.0099;0.1111;"Train";6
"NMF";370.582;0.033;0.1463;0.0113;0.0375;"Train";6
"NNLM";145.279;0.0311;0.1458;0.0097;0.1416;"Train";6
"AIRWLS";169.963;0.0309;0.1458;0.0089;0.5209;"Train";6
"Newton";89.806;0.0309;0.1458;0.0089;0.5107;"Train";6
"C-SGD";51.94;0.03;0.1456;0.0102;0.4848;"Train";6
"B-SGD";26.912;0.0295;0.1455;0.0104;0.4431;"Train";6
"glmPCA";525.063;0.0362;0.4956;0.0188;-0.0203;"Test";6
"NBWaVE";159.793;0.033;0.4952;0.0129;0.5661;"Test";6
"CMF";259.709;0.033;0.4954;0.0239;0.1111;"Test";6
"NMF";370.582;0.0335;0.4951;0.0174;0.0375;"Test";6
"NNLM";145.279;0.0316;0.4951;0.0127;0.1416;"Test";6
"AIRWLS";169.963;0.0315;0.4951;0.0156;0.5209;"Test";6
"Newton";89.806;0.0315;0.4951;0.0181;0.5107;"Test";6
"C-SGD";51.94;0.0319;0.4951;0.0121;0.4848;"Test";6
"B-SGD";26.912;0.0328;0.4952;0.0119;0.4431;"Test";6
"glmPCA";528.105;0.0375;0.0068;0.0231;-0.0225;"Full";7
"NBWaVE";199.608;0.0318;0.0058;0.0154;0.5663;"Full";7
"CMF";249.199;0.0332;0.0061;0.0172;0.0549;"Full";7
"NMF";370.809;0.034;0.0062;0.0162;0.0559;"Full";7
"NNLM";152.899;0.0318;0.0058;0.0132;0.0311;"Full";7
"AIRWLS";167.497;0.0315;0.0058;0.0136;0.5296;"Full";7
"Newton";91.366;0.0315;0.0058;0.0141;0.5382;"Full";7
"C-SGD";51.666;0.0311;0.0057;0.0135;0.4748;"Full";7
"B-SGD";27.499;0.0309;0.0057;0.0136;0.4056;"Full";7
"glmPCA";528.105;0.0375;0.1453;0.023;-0.0225;"Train";7
"NBWaVE";199.608;0.0312;0.1443;0.0152;0.5663;"Train";7
"CMF";249.199;0.033;0.1445;0.013;0.0549;"Train";7
"NMF";370.809;0.0339;0.1448;0.0146;0.0559;"Train";7
"NNLM";152.899;0.0317;0.1444;0.0124;0.0311;"Train";7
"AIRWLS";167.497;0.0314;0.1444;0.0116;0.5296;"Train";7
"Newton";91.366;0.0314;0.1444;0.0116;0.5382;"Train";7
"C-SGD";51.666;0.0307;0.1442;0.0129;0.4748;"Train";7
"B-SGD";27.499;0.0299;0.1442;0.0133;0.4056;"Train";7
"glmPCA";528.105;0.0373;0.4942;0.0234;-0.0225;"Test";7
"NBWaVE";199.608;0.0336;0.4938;0.0161;0.5663;"Test";7
"CMF";249.199;0.0335;0.494;0.0288;0.0549;"Test";7
"NMF";370.809;0.0342;0.4938;0.0209;0.0559;"Test";7
"NNLM";152.899;0.032;0.4938;0.0156;0.0311;"Test";7
"AIRWLS";167.497;0.0319;0.4937;0.0193;0.5296;"Test";7
"Newton";91.366;0.0319;0.4937;0.0212;0.5382;"Test";7
"C-SGD";51.666;0.0324;0.4938;0.0152;0.4748;"Test";7
"B-SGD";27.499;0.0337;0.4938;0.0148;0.4056;"Test";7
"glmPCA";508.869;0.0377;0.0087;0.0217;-0.0193;"Full";8
"NBWaVE";144.073;0.0325;0.0075;0.0135;0.5239;"Full";8
"CMF";262.407;0.0334;0.0078;0.0142;0.2131;"Full";8
"NMF";368.849;0.0344;0.008;0.0142;0.0337;"Full";8
"NNLM";133.741;0.0325;0.0076;0.0113;0.0366;"Full";8
"AIRWLS";171.868;0.0323;0.0075;0.0116;0.5649;"Full";8
"Newton";93.503;0.0323;0.0075;0.0119;0.5751;"Full";8
"C-SGD";51.359;0.0318;0.0074;0.0116;0.5549;"Full";8
"B-SGD";27.085;0.0314;0.0073;0.0119;0.4996;"Full";8
"glmPCA";508.869;0.0376;0.1467;0.0215;-0.0193;"Train";8
"NBWaVE";144.073;0.0318;0.1456;0.0131;0.5239;"Train";8
"CMF";262.407;0.0332;0.1458;0.0106;0.2131;"Train";8
"NMF";368.849;0.0343;0.1461;0.0123;0.0337;"Train";8
"NNLM";133.741;0.0324;0.1456;0.0104;0.0366;"Train";8
"AIRWLS";171.868;0.0321;0.1456;0.0097;0.5649;"Train";8
"Newton";93.503;0.0321;0.1456;0.0097;0.5751;"Train";8
"C-SGD";51.359;0.0313;0.1455;0.011;0.5549;"Train";8
"B-SGD";27.085;0.0305;0.1453;0.0114;0.4996;"Train";8
"glmPCA";508.869;0.0378;0.4955;0.0224;-0.0193;"Test";8
"NBWaVE";144.073;0.0345;0.495;0.0146;0.5239;"Test";8
"CMF";262.407;0.034;0.4951;0.0246;0.2131;"Test";8
