"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";945.057;0.0434;0.0112;0.025;-0.0136;"Full";1
"NBWaVE";120.237;0.039;0.0101;0.0171;0.4763;"Full";1
"CMF";212.64;0.0395;0.0102;0.0174;0.0285;"Full";1
"NMF";NA;NA;NA;NA;NA;"Full";1
"NNLM";152.483;0.0389;0.0101;0.0165;0.0269;"Full";1
"AIRWLS";115.747;0.038;0.0099;0.0151;0.492;"Full";1
"Newton";92.046;0.038;0.0098;0.0152;0.4797;"Full";1
"C-SGD";44.877;0.0378;0.0098;0.0158;0.4825;"Full";1
"B-SGD";27.533;0.0375;0.0097;0.0159;0.3746;"Full";1
"glmPCA";945.057;0.0434;0.1488;0.0249;-0.0136;"Train";1
"NBWaVE";120.237;0.0388;0.1479;0.017;0.4763;"Train";1
"CMF";212.64;0.0394;0.148;0.0167;0.0285;"Train";1
"NMF";NA;NA;NA;NA;NA;"Train";1
"NNLM";152.483;0.0388;0.1479;0.0162;0.0269;"Train";1
"AIRWLS";115.747;0.0379;0.1477;0.0148;0.492;"Train";1
"Newton";92.046;0.0379;0.1477;0.0148;0.4797;"Train";1
"C-SGD";44.877;0.0377;0.1476;0.0156;0.4825;"Train";1
"B-SGD";27.533;0.0372;0.1476;0.0157;0.3746;"Train";1
"glmPCA";945.057;0.0434;0.4967;0.0251;-0.0136;"Test";1
"NBWaVE";120.237;0.0394;0.4961;0.0175;0.4763;"Test";1
"CMF";212.64;0.0396;0.4962;0.0195;0.0285;"Test";1
"NMF";NA;NA;NA;NA;NA;"Test";1
"NNLM";152.483;0.039;0.4961;0.0176;0.0269;"Test";1
"AIRWLS";115.747;0.0382;0.496;0.0162;0.492;"Test";1
"Newton";92.046;0.0382;0.496;0.0163;0.4797;"Test";1
"C-SGD";44.877;0.0383;0.4961;0.0164;0.4825;"Test";1
"B-SGD";27.533;0.0383;0.4961;0.0164;0.3746;"Test";1
"glmPCA";698.605;0.043;0.0113;0.0235;-0.0183;"Full";2
"NBWaVE";114.671;0.0389;0.0102;0.0166;0.4769;"Full";2
"CMF";204.064;0.039;0.0103;Inf;0.0399;"Full";2
"NMF";NA;NA;NA;NA;NA;"Full";2
"NNLM";153.865;0.0385;0.0101;Inf;0.0472;"Full";2
"AIRWLS";149.922;0.0379;0.01;0.0149;0.4603;"Full";2
"Newton";114.381;0.0379;0.01;0.0149;0.4781;"Full";2
"C-SGD";44.889;0.0376;0.0099;0.0152;0.3621;"Full";2
"B-SGD";27.618;0.0372;0.0099;0.0152;0.3467;"Full";2
"glmPCA";698.605;0.043;0.149;0.0234;-0.0183;"Train";2
"NBWaVE";114.671;0.0387;0.1481;0.0165;0.4769;"Train";2
"CMF";204.064;0.039;0.1482;0.0157;0.0399;"Train";2
"NMF";NA;NA;NA;NA;NA;"Train";2
"NNLM";153.865;0.0384;0.1481;0.0153;0.0472;"Train";2
"AIRWLS";149.922;0.0378;0.1479;0.0143;0.4603;"Train";2
"Newton";114.381;0.0378;0.1479;0.0143;0.4781;"Train";2
"C-SGD";44.889;0.0375;0.1479;0.015;0.3621;"Train";2
"B-SGD";27.618;0.037;0.1478;0.0151;0.3467;"Train";2
"glmPCA";698.605;0.043;0.4966;0.0237;-0.0183;"Test";2
"NBWaVE";114.671;0.0393;0.496;0.017;0.4769;"Test";2
"CMF";204.064;0.0391;0.4961;Inf;0.0399;"Test";2
"NMF";NA;NA;NA;NA;NA;"Test";2
"NNLM";153.865;0.0386;0.496;Inf;0.0472;"Test";2
"AIRWLS";149.922;0.038;0.4959;0.0164;0.4603;"Test";2
"Newton";114.381;0.038;0.4959;0.0165;0.4781;"Test";2
"C-SGD";44.889;0.0381;0.4959;0.0158;0.3621;"Test";2
