"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";914.468;0.0446;0.0113;0.0233;-0.0286;"Full";1
"NBWaVE";119.539;0.0398;0.0101;0.0161;0.4937;"Full";1
"CMF";213.702;0.0403;0.0103;0.0161;0.1271;"Full";1
"NMF";276.251;0.0414;0.0105;0.0177;0.0179;"Full";1
"NNLM";152.578;0.0396;0.0101;0.0151;0.0183;"Full";1
"AIRWLS";187.002;0.0388;0.0099;0.0143;0.4516;"Full";1
"Newton";122.401;0.0388;0.0099;0.0143;0.4812;"Full";1
"C-SGD";44.801;0.0386;0.0098;0.0147;0.4073;"Full";1
"B-SGD";27.417;0.0381;0.0097;0.0147;0.3257;"Full";1
"glmPCA";914.468;0.0446;0.149;0.0232;-0.0286;"Train";1
"NBWaVE";119.539;0.0396;0.148;0.0159;0.4937;"Train";1
"CMF";213.702;0.0403;0.1481;0.0154;0.1271;"Train";1
"NMF";276.251;0.0413;0.1483;0.0172;0.0179;"Train";1
"NNLM";152.578;0.0395;0.1479;0.0148;0.0183;"Train";1
"AIRWLS";187.002;0.0388;0.1478;0.0138;0.4516;"Train";1
"Newton";122.401;0.0388;0.1478;0.0138;0.4812;"Train";1
"C-SGD";44.801;0.0384;0.1477;0.0145;0.4073;"Train";1
"B-SGD";27.417;0.0379;0.1476;0.0146;0.3257;"Train";1
"glmPCA";914.468;0.0446;0.4967;0.0235;-0.0286;"Test";1
"NBWaVE";119.539;0.0403;0.4961;0.0164;0.4937;"Test";1
"CMF";213.702;0.0405;0.4962;0.0181;0.1271;"Test";1
"NMF";276.251;0.0415;0.4962;0.0189;0.0179;"Test";1
"NNLM";152.578;0.0398;0.4961;0.0159;0.0183;"Test";1
"AIRWLS";187.002;0.039;0.496;0.0156;0.4516;"Test";1
"Newton";122.401;0.039;0.496;0.0157;0.4812;"Test";1
"C-SGD";44.801;0.0391;0.496;0.0152;0.4073;"Test";1
"B-SGD";27.417;0.0389;0.496;0.0152;0.3257;"Test";1
"glmPCA";626.3;0.0427;0.0119;0.0218;-0.0244;"Full";2
"NBWaVE";114.444;0.0387;0.0108;0.0153;0.4335;"Full";2
"CMF";196.49;0.0394;0.011;0.0162;0.137;"Full";2
"NMF";NA;NA;NA;NA;NA;"Full";2
"NNLM";153.039;0.0386;0.0108;0.0151;0.0255;"Full";2
"AIRWLS";118.844;0.0377;0.0105;0.0135;0.5074;"Full";2
"Newton";98.821;0.0377;0.0105;0.0135;0.5088;"Full";2
"C-SGD";44.534;0.0376;0.0105;0.0142;0.4561;"Full";2
"B-SGD";26.85;0.0373;0.0104;0.0144;0.3838;"Full";2
"glmPCA";626.3;0.0427;0.1494;0.0217;-0.0244;"Train";2
"NBWaVE";114.444;0.0385;0.1485;0.0152;0.4335;"Train";2
"CMF";196.49;0.0393;0.1487;0.015;0.137;"Train";2
"NMF";NA;NA;NA;NA;NA;"Train";2
"NNLM";153.039;0.0385;0.1485;0.0146;0.0255;"Train";2
"AIRWLS";118.844;0.0376;0.1483;0.0129;0.5074;"Train";2
"Newton";98.821;0.0376;0.1483;0.0129;0.5088;"Train";2
"C-SGD";44.534;0.0373;0.1482;0.0139;0.4561;"Train";2
"B-SGD";26.85;0.037;0.1481;0.0141;0.3838;"Train";2
"glmPCA";626.3;0.0429;0.4971;0.0223;-0.0244;"Test";2
"NBWaVE";114.444;0.0394;0.4965;0.0158;0.4335;"Test";2
"CMF";196.49;0.0397;0.4967;0.0196;0.137;"Test";2
"NMF";NA;NA;NA;NA;NA;"Test";2
"NNLM";153.039;0.0389;0.4966;0.0167;0.0255;"Test";2
"AIRWLS";118.844;0.0381;0.4964;0.015;0.5074;"Test";2
"Newton";98.821;0.0381;0.4964;0.0153;0.5088;"Test";2
"C-SGD";44.534;0.0382;0.4965;0.015;0.4561;"Test";2
"B-SGD";26.85;0.0381;0.4965;0.015;0.3838;"Test";2
"glmPCA";633.156;0.0433;0.0106;0.0249;-0.0196;"Full";3
"NBWaVE";114.842;0.0386;0.0095;0.0166;0.4881;"Full";3
"CMF";210.597;0.039;0.0096;Inf;0.031;"Full";3
"NMF";275.931;0.0401;0.0098;0.018;0.0227;"Full";3
"NNLM";152.431;0.0384;0.0094;0.0158;0.0972;"Full";3
"AIRWLS";137.625;0.0375;0.0092;0.0147;0.4706;"Full";3
"Newton";87.186;0.0374;0.0092;0.0147;0.4785;"Full";3
"C-SGD";44.746;0.0375;0.0092;0.0155;0.3976;"Full";3
"B-SGD";27.324;0.0371;0.0091;0.0154;0.3902;"Full";3
"glmPCA";633.156;0.0433;0.1485;0.0247;-0.0196;"Train";3
"NBWaVE";114.842;0.0385;0.1475;0.0164;0.4881;"Train";3
"CMF";210.597;0.039;0.1476;Inf;0.031;"Train";3
"NMF";275.931;0.04;0.1479;0.0175;0.0227;"Train";3
"NNLM";152.431;0.0383;0.1475;0.0155;0.0972;"Train";3
"AIRWLS";137.625;0.0374;0.1473;0.0143;0.4706;"Train";3
"Newton";87.186;0.0374;0.1473;0.0143;0.4785;"Train";3
"C-SGD";44.746;0.0373;0.1473;0.0152;0.3976;"Train";3
"B-SGD";27.324;0.0368;0.1472;0.0152;0.3902;"Train";3
"glmPCA";633.156;0.0433;0.4961;0.0252;-0.0196;"Test";3
"NBWaVE";114.842;0.039;0.4956;0.0171;0.4881;"Test";3
"CMF";210.597;0.0391;0.4957;Inf;0.031;"Test";3
"NMF";275.931;0.0401;0.4957;0.0195;0.0227;"Test";3
"NNLM";152.431;0.0385;0.4956;0.0166;0.0972;"Test";3
"AIRWLS";137.625;0.0376;0.4955;0.0159;0.4706;"Test";3
"Newton";87.186;0.0376;0.4955;0.016;0.4785;"Test";3
"C-SGD";44.746;0.0379;0.4955;0.0161;0.3976;"Test";3
"B-SGD";27.324;0.0377;0.4955;0.016;0.3902;"Test";3
"glmPCA";713.762;0.0454;0.0093;0.0266;-0.0095;"Full";4
"NBWaVE";118.486;0.0404;0.0083;0.0192;0.491;"Full";4
"CMF";205.94;0.041;0.0084;0.0197;-0.0094;"Full";4
"NMF";275.09;0.0422;0.0086;0.0209;0.0072;"Full";4
"NNLM";152.783;0.0399;0.0082;0.0182;-0.0102;"Full";4
"AIRWLS";93.327;0.0391;0.0081;0.0173;0.4395;"Full";4
"Newton";100.852;0.0391;0.0081;0.0173;0.4924;"Full";4
"C-SGD";44.756;0.039;0.008;0.0177;0.4236;"Full";4
"B-SGD";27.218;0.0386;0.008;0.0178;0.4034;"Full";4
"glmPCA";713.762;0.0454;0.1473;0.0265;-0.0095;"Train";4
"NBWaVE";118.486;0.0402;0.1464;0.0191;0.491;"Train";4
"CMF";205.94;0.041;0.1466;0.0189;-0.0094;"Train";4
"NMF";275.09;0.0422;0.1468;0.0204;0.0072;"Train";4
"NNLM";152.783;0.0399;0.1464;0.018;-0.0102;"Train";4
"AIRWLS";93.327;0.0391;0.1462;0.0169;0.4395;"Train";4
"Newton";100.852;0.039;0.1462;0.0169;0.4924;"Train";4
"C-SGD";44.756;0.0389;0.1462;0.0175;0.4236;"Train";4
"B-SGD";27.218;0.0384;0.1461;0.0176;0.4034;"Train";4
"glmPCA";713.762;0.0453;0.4956;0.0268;-0.0095;"Test";4
"NBWaVE";118.486;0.0408;0.4951;0.0195;0.491;"Test";4
"CMF";205.94;0.0411;0.4952;0.022;-0.0094;"Test";4
"NMF";275.09;0.0423;0.4952;0.0222;0.0072;"Test";4
"NNLM";152.783;0.04;0.4951;0.0189;-0.0102;"Test";4
"AIRWLS";93.327;0.0392;0.495;0.0183;0.4395;"Test";4
"Newton";100.852;0.0392;0.495;0.0185;0.4924;"Test";4
"C-SGD";44.756;0.0394;0.495;0.0183;0.4236;"Test";4
"B-SGD";27.218;0.0393;0.495;0.0182;0.4034;"Test";4
"glmPCA";68.728;0.0453;0.0114;0.0274;-0.0167;"Full";5
